Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Learning Style
1,1,1,1,1,1,5,5,Reading/Writing
1,1,1,1,5,5,1,1,Kinesthetic
5,1,1,5,1,1,1,1,Visual
1,5,5,1,1,1,1,1,Auditory
1,1,1,1,1,1,4,4,Reading/Writing
1,1,1,1,4,4,1,1,Kinesthetic
1,4,4,1,1,1,1,1,Auditory
4,1,1,4,1,1,1,1,Visual
1,1,1,1,1,1,3,3,Reading/Writing
1,5,4,5,1,3,2,3,Auditory
4,2,5,1,5,4,2,5,Visual
1,1,1,1,3,3,1,1,Kinesthetic
5,4,3,3,3,1,4,1,Auditory
3,2,4,5,4,5,1,3,Visual
1,1,1,1,1,1,3,5,Reading/Writing
4,3,2,4,5,1,3,4,Auditory
5,5,3,2,4,2,4,1,Visual
1,1,1,1,1,1,4,5,Reading/Writing
1,1,1,1,3,5,1,1,Kinesthetic
1,5,2,4,5,1,4,3,Auditory
4,3,4,2,2,5,2,4,Visual
5,1,3,5,4,3,1,5,Auditory
2,4,2,1,1,2,5,1,Kinesthetic
3,2,5,3,4,1,3,2,Visual
1,3,4,2,5,4,4,5,Reading/Writing
4,5,1,4,2,3,2,3,Auditory
1,1,1,1,5,3,1,1,Kinesthetic
3,1,3,5,4,2,4,2,Visual
2,5,3,1,1,4,5,1,Reading/Writing
3,2,4,1,5,4,3,2,Auditory
1,1,1,1,5,4,1,1,Kinesthetic
4,1,5,3,2,3,4,5,Visual
2,4,3,5,1,2,5,2,Reading/Writing
3,5,1,2,4,4,2,3,Auditory
1,3,5,4,2,1,5,1,Reading/Writing
4,2,1,3,5,3,4,2,Visual
1,1,1,1,4,5,1,1,Kinesthetic
5,1,3,4,2,4,3,1,Reading/Writing
3,4,2,5,1,3,4,4,Auditory
1,5,2,4,3,1,2,5,Visual
4,3,1,5,2,5,1,3,Kinesthetic
2,4,1,3,5,2,3,4,Reading/Writing
5,1,1,4,1,1,1,1,Visual
4,1,5,3,2,5,4,3,Auditory
3,2,1,4,3,2,3,2,Reading/Writing
5,4,3,1,2,4,3,4,Kinesthetic
4,5,2,3,1,2,1,5,Reading/Writing
4,1,1,5,1,1,1,1,Visual
1,3,2,4,5,2,3,5,Kinesthetic
4,3,1,5,2,1,4,2,Reading/Writing
1,2,4,3,5,2,3,1,Visual
